country,freedom
JM,"11,33"
NZ,"13,62"
IR,"14,59"
CA,"15,28"
AU,"15,46"
GH,"18,41"
ZA,"20,39"
GB,"23,25"
US,"23,73"
HK,"29,04"
TZ,"30,65"
KE,"30,82"
NG,"37,41"
LK,"41,37"
PH,"42,53"
MY,"43,15"
IN,"43,24"
PK,"43,24"
BD,"48,62"
SG,"50,95"
